39,65053763
40,07996032
37,53924731
33,52240741
27,46792115
26,23351852
26,31541219
28,63566308
28,99277778
28,3890681
28,92518519
36,09695341
38,28727599
38,37242063
34,70573477
30,11740741
27,09050179
25,0412963
25,19086022
25,9781362
27,59296296
26,38082437
28,70814815
32,59229391
34,93476703
34,04712644
31,61039427
29,92296296
27,46379928
27,28814815
25,7953405
27,14229391
26,31592593
31,61684588
31,08481481
33,47849462
35,45555556
37,59166667
35,7874552
32,23407407
28,50501792
27,36407407
26,89713262
27,69175627
27,91555556
29,66164875
31,13259259
33,85734767
35,19928315
34,02103175
35,80896057
32,03444444
29,0734767
28,47740741
26,19462366
29,75878136
27,90074074
32,80143369
33,40925926
34,5
34,99318996
37,73531746
33,80394265
31,48296296
27,94767025
28,31888889
26,91218638
25,55340502
26,85296296
28,53691756
31,92333333
33,87634409
32,27455197
31,61609195
31,36021505
31,23962963
27,69928315
26,3962963
25,2827957
26,46594982
29,83740741
29,13405018
30,88111111
31,51003584
34,98136201
32,09206349
32,92293907
32,1
29,23189964
27,62222222
25,68100358
28,78888889
26,83666667
32,48315412
29,7762963
30,56379928
35,35734767
36,75793651
33,91290323
29,66814815
26,14516129
26,37481481
27,12473118
28,00215054
28,35888889
29,26236559
30,93962963
33,2516129
34,88422939
34,58690476
35,60537634
32,28148148
28,51684588
28,35740741
27,28584229
27,59551971
29,35296296
31,10483871
31,2962963
34,0297491
33,35179211
35,29291188
34,0172043
31,94222222
27,70197133
26,67962963
26,21164875
26,8797491
26,39351852
30,0218638
28,05574074
30,54265233
35,20716846
37,78472222
34,69569892
29,45425926
28,66989247
25,54111111
25,63781362
26,75107527
29,96055556
28,40358423
37,54944444
34,91810036
